#                                      ID                                       # sources in
# Name              RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ2_G271.53+36.41  166.3725 -19.9188  492.00  0.01275  0.00759   1.68   373.83    0    0
PSZ2_G271.55+26.00  160.5608 -28.8802  493.00  0.02479  0.01025   2.42   352.62    0    1
PSZ2_G274.73-16.79  118.6130 -61.9600  494.00  0.02212  0.00758   2.92   576.28    0    0
PSZ2_G275.24-40.42   65.5394 -63.5877  495.00  0.00482  0.00446   1.08   780.34    0    0
PSZ2_G275.73-06.12  137.0152 -56.6951  496.00  0.00121  0.00669   0.18   336.60    0    0
PSZ2_G276.14-07.68  135.3478 -58.0304  497.00  0.04301  0.01267   3.40   344.71    0    1
PSZ2_G276.46-21.52  110.1691 -65.2939  498.00  0.03196  0.00788   4.05   684.38    0    0
PSZ2_G277.93+12.34  158.0674 -43.6660  499.00  0.02355  0.00936   2.52   400.78    0    0
PSZ2_G278.32-18.77  117.9170 -65.9040  500.00  0.00551  0.00415   1.33   968.27    0    2
PSZ2_G278.56+10.74  157.6282 -45.3503  501.00  0.02011  0.00886   2.27   375.18    0    0
PSZ2_G278.79+08.54  156.2233 -47.3374  502.00  0.01696  0.00929   1.83   324.02    0    0
PSZ2_G278.87+16.70  162.0431 -40.3359  503.00  0.01073  0.00771   1.39   368.23    0    0
PSZ2_G278.91-15.76  124.9708 -64.9912  504.00  0.00316  0.00351   0.90   949.69    0    1
PSZ2_G278.92+31.06  169.7376 -27.4578  505.00  0.04819  0.01340   3.60   325.73    0    0
PSZ2_G278.94-17.62  121.0917 -65.9301  506.00  0.01722  0.00527   3.27   932.24    0    0
PSZ2_G280.39-10.48  136.6507 -63.0360  507.00  0.02968  0.00804   3.69   584.02    0    0
PSZ2_G280.78-52.22   40.3064 -59.9276  508.00  0.00362  0.00733   0.49   274.30    0    0
PSZ2_G281.48-08.34  141.6462 -62.3463  509.00  0.02120  0.01002   2.11   299.95    0    0
PSZ2_G282.32-40.15   60.2229 -68.5513  510.00 -0.00000  0.00242  -0.00  1246.85    0    0
PSZ2_G284.30-26.75   99.8762 -73.4026  511.00  0.01334  0.00522   2.55   836.83    0    0
PSZ2_G285.18+16.11  169.0743 -43.4528  512.00  0.05296  0.01636   3.24   244.80    0    0
PSZ2_G285.28-47.35   42.5380 -65.4994  513.00  0.02702  0.01183   2.28   267.80    0    0
PSZ2_G285.85-46.36   43.4112 -66.5062  514.00 -0.00173  0.00544  -0.32   262.62    0    0
PSZ2_G286.07-42.75   49.7588 -69.2222  515.00  0.02991  0.03601   0.83    27.80    0    0
PSZ2_G286.32-30.62   85.3794 -75.0626  516.00  0.04774  0.00574   8.32  1796.42    1    0
PSZ2_G286.66-23.93  111.5332 -74.9867  517.00  0.04806  0.00917   5.24   673.19    0    0
PSZ2_G287.55-14.25  141.6886 -70.7315  518.00  0.02683  0.00851   3.15   499.76    1    1
PSZ2_G288.06-46.73   39.8015 -67.1621  519.00  0.00044  0.00576   0.08   247.26    0    0
PSZ2_G289.30-28.95   91.0689 -77.8446  520.00  0.03427  0.00686   4.99   911.02    0    0
PSZ2_G289.50-47.49   36.6101 -67.0819  521.00  0.06784  0.01443   4.70   366.90    1    0
PSZ2_G289.50+32.71  179.9769 -28.8047  522.00  0.01194  0.00870   1.37   257.70    0    0
PSZ2_G290.38+37.57  181.9786 -24.2360  523.00 -0.00568  0.00387  -1.47   263.32    0    0
PSZ2_G290.83-45.84   36.8519 -68.9655  524.00 -0.00209  0.00591  -0.35   241.51    0    1
PSZ2_G291.34+14.70  176.4088 -46.6820  525.00 -0.00221  0.00692  -0.32   145.87    0    0
PSZ2_G292.04+22.91  179.9441 -38.8609  526.00  0.04709  0.01930   2.44   146.69    0    0
PSZ2_G292.22-43.33   38.2313 -71.6195  527.00  0.00660  0.00861   0.77   201.95    0    0
PSZ2_G292.69-18.32  143.7571 -77.1034  528.00 -0.00539  0.00276  -1.96   371.08    0    0
PSZ2_G292.77-23.80  120.5493 -80.2479  529.00 -0.00386  0.00547  -0.71   369.18    0    0
PSZ2_G292.84-16.57  149.2667 -75.9083  530.00  0.10121  0.02037   4.97   264.47    1    0
PSZ2_G293.09+43.20  185.2897 -19.0906  531.00 -0.00309  0.00455  -0.68   314.32    0    1
PSZ2_G293.17-14.35  155.4661 -74.3156  532.00 -0.00468  0.00198  -2.37   523.67    0    1
PSZ2_G293.35-10.50  162.5449 -71.0898  533.00  0.01093  0.00963   1.13   232.96    0    0
PSZ2_G293.63+08.25  177.2786 -53.4890  534.00 -0.00277  0.00586  -0.47   243.94    0    0
PSZ2_G293.80-40.77   39.4301 -74.4142  535.00  0.00465  0.00707   0.66   246.04    0    0
PSZ2_G293.92-17.26  150.8497 -77.0984  536.00  0.00910  0.00643   1.42   382.07    0    0
PSZ2_G294.28-19.03  146.5610 -78.6590  537.00 -0.00444  0.00214  -2.08   674.53    0    0
PSZ2_G294.31-14.18  159.3040 -74.7606  538.00 -0.00290  0.00247  -1.17   414.73    0    0
PSZ2_G294.37-14.33  159.2047 -74.9175  539.00  0.02569  0.03110   0.83    32.16    0    0
PSZ2_G294.45-13.94  160.1930 -74.6249  540.00  0.00058  0.00344   0.17   507.33    0    0
PSZ2_G295.00-37.76   42.9758 -77.4498  541.00 -0.00646  0.00412  -1.57   246.61    0    0
PSZ2_G295.36+24.29  184.0871 -38.0594  542.00 -0.00038  0.00880  -0.04   114.55    0    0
PSZ2_G295.61-17.50  156.2506 -78.2432  543.00 -0.00466  0.00201  -2.32   509.46    0    0
PSZ2_G295.92-39.39   36.5378 -76.4195  544.00 -0.00098  0.00348  -0.28   647.51    0    0
PSZ2_G296.59-10.50  171.9015 -72.3373  545.00  0.01159  0.00477   2.43   785.91    0    0
PSZ2_G296.88-17.07  162.5493 -78.4985  546.00  0.00179  0.00355   0.51   634.24    0    0
PSZ2_G297.31-34.68   43.9911 -81.0392  547.00 -0.00567  0.00334  -1.70   305.24    0    0
PSZ2_G297.64-11.94  173.7429 -74.0285  548.00 -0.00365  0.00443  -0.82   228.83    0    0
PSZ2_G297.91+31.43  187.8533 -31.2422  549.00  0.01428  0.01113   1.28   220.90    0    0
PSZ2_G299.54+17.83  188.3018 -44.9185  550.00  0.03837  0.01173   3.27   341.58    0    0
PSZ2_G299.68-60.21   15.8068 -56.8424  551.00 -0.00436  0.00485  -0.90   208.91    0    0
PSZ2_G303.75-32.86    6.0181 -84.2207  552.00 -0.00716  0.00526  -1.36   193.28    0    0
PSZ2_G303.98-18.29  199.3557 -81.1092  553.00  0.00469  0.00787   0.60   255.60    0    0
PSZ2_G304.95-18.60  205.5794 -81.2788  554.00  0.00087  0.00757   0.12   230.59    0    0
PSZ2_G305.14-33.60  357.0183 -83.2463  555.00 -0.00298  0.00594  -0.50   170.25    0    0
